Date,Sales,Product,Region,Quantity
2024-01-09,1784.6999289363316,Laptop,North,2
2024-01-10,3499.664199249871,Keyboard,North,20
2024-01-11,4002.1006001817686,Laptop,East,1
2024-01-12,2454.525171224855,Tablet,South,16
2024-01-13,1516.4440784028588,Keyboard,South,35
2024-01-14,1828.358548496254,Monitor,East,30
2024-01-15,2324.7698526193935,Keyboard,South,12
2024-01-16,4159.184289354693,Tablet,North,20
2024-01-17,3145.118117653973,Monitor,East,28
2024-01-18,3621.1023902191296,Keyboard,South,28
2024-01-19,2802.6876390685143,Phone,North,3
2024-01-20,4175.448366472437,Keyboard,South,36
2024-01-21,5036.987296385822,Tablet,North,48
2024-01-22,4607.9393438991465,Monitor,South,24
2024-01-23,2175.9752630461526,Phone,South,23
2024-01-24,5405.804936520722,Phone,North,24
2024-01-25,3093.1802744330957,Laptop,South,27
2024-01-26,5363.897693142044,Phone,West,49
2024-01-27,2044.8001493953166,Laptop,West,25
2024-01-28,5454.778709453903,Laptop,West,13
2024-01-29,3033.773637521946,Laptop,West,14
2024-01-30,4196.77499260707,Tablet,South,27
2024-01-31,3451.822727847489,Phone,South,19
